Incidence Rate Report for Illinois by County,,,,,,,,,,,,,
,,,,,,,,,,,,,
"All Cancer Sites (All Stages^), 2018-2022",,,,,,,,,,,,,
,,,,,,,,,,,,,
"All Races (includes Hispanic), Both Sexes, All Ages",,,,,,,,,,,,,
,,,,,,,,,,,,,
Sorted by Rate,,,,,,,,,,,,,
,,,,,,,,,,,,,
County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
Lawrence County(7),17101,Rural,421.4,381.3,464.8,98,48,102,85,falling,-13.3,-20.8,-4.5
Clark County(7),17023,Rural,410.8,371.5,453.3,99,61,102,87,falling,-8.8,-16.9,-1.5
Pope County(7),17151,Rural,406.6,336.3,491.4,100,21,102,30,stable,-12.1,-24.4,2
White County(7),17193,Rural,386.5,348.2,428.4,101,76,102,84,falling,-15.5,-25.7,-4.5
Hamilton County(7),17065,Rural,371.6,321.5,428,102,75,102,44,stable,-0.2,-1.6,1.4
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
Created by statecancerprofiles.cancer.gov on 07/16/2026 9:27 pm.,,,,,,,,,,,,,
,,,,,,,,,,,,,
State Cancer Registries [ https://www.cdc.gov/national-program-cancer-registries/contact/index.html ] may provide more current or more local data.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"

Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.
",,,,,,,,,,,,,
,,,,,,,,,,,,,
"[rate note] Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [ http://www.seer.cancer.gov/stdpopulations/ ] (SEER areas use 20 age groups and NPCR areas use 19 age groups). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat [ https://seer.cancer.gov/seerstat/ ]. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates.",,,,,,,,,,,,,
,,,,,,,,,,,,,
"[recent trend note] Incidence data come from different sources. The Average Annual Percent Change (AAPC) is based on the APCs calculated by Joinpoint [ https://surveillance.cancer.gov/joinpoint/ ]. Due to data availability issues, the time period used in the calculation of the joinpoint regression model may differ [ https://statecancerprofiles.cancer.gov/historicaltrend/differences.html ] for selected counties.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Rates and trends are computed using different standards for malignancy. For more information see malignant.html.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"[stage note] All Stages refers to any stage. Due to changes in stage coding, Combined Summary Stage with Expanded Regional Codes (2004+) is used for data from Surveillance, Epidemiology, and End Results (SEER) databases and Merged Summary Stage is used for data from National Program of Cancer Registries [ https://www.cdc.gov/cancer/npcr/index.htm ] databases. Due to the increased complexity with staging, other staging variables maybe used if necessary.",,,,,,,,,,,,,
,,,,,,,,,,,,,
"[rank note] Results presented with the CI*Rank statistics help show the usefulness of ranks. For example, ranks for relatively rare diseases or less populated areas may be essentially meaningless because of their large variability, but ranks for more common diseases in densely populated regions can be very useful. The rates used in CI*Rank are all age-adjusted to the 2000 US standard population using 19 age groups for SEER and NPCR areas. More information about methodology can be found on the CI*Rank website [ https://surveillance.cancer.gov/cirank/ ].",,,,,,,,,,,,,
,,,,,,,,,,,,,
"[rural urban note] Rural–urban county classifications are based on the 2023 USDA Rural–Urban Continuum Codes [ https://www.ers.usda.gov/data-products/rural-urban-continuum-codes/ ] (except for Connecticut Counties which use 2013 codes). State-level cancer rates for rural areas are calculated using cancer cases registered exclusively in rural counties, while state-level cancer rates for urban areas are calculated using cases registered exclusively in urban counties.",,,,,,,,,,,,,
,,,,,,,,,,,,,
"(1) Source: National Program of Cancer Registries [ https://www.cdc.gov/cancer/npcr/index.htm ] and Surveillance, Epidemiology, and End Results [ http://seer.cancer.gov ] SEER*Stat Database - United States Department of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute. Based on the 2024 submission.",,,,,,,,,,,,,
,,,,,,,,,,,,,
(7) Source: SEER [ http://seer.cancer.gov ] November 2024 submission.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data for United States does not include Puerto Rico.,,,,,,,,,,,,,
